"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_about_this_example","count_block_loop","count_block_sequence","count_constants","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixdot","count_functions","count_green_fixdot","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_red_fixdot","count_reset_feedback","count_trial_script","count_trial_sequence","datetime","description","disable_garbage_collection","distractor","distractor_color","distractor_pos","eccentricity","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","line_size","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","nontarget_shape","opensesame_codename","opensesame_version","penwidth","pos","practice","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_feedback","response_instructions","response_keyboard_response","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","set_size","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_size","subject_nr","subject_parity","target_color","target_orientation","target_pos","target_shape","time_about_this_example","time_block_loop","time_block_sequence","time_constants","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixdot","time_functions","time_green_fixdot","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_red_fixdot","time_reset_feedback","time_trial_script","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","x","y"
"100.0","100","803.2437649962958","803.2437649962958","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","/","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","absent","blue","None","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","0","0","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","circle","Melodramatic Milgram","4.0.0a17","4","7","yes","0","slash","NA","NA","NA","space","slash","803.2437649962958","NA","NA","NA","597.0843239920214","803.2437649962958","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","yellow","90","3","rect","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","5006.532725004945","4787.23693700158","6838.998631006689","4189.714050007751","6031.839508010307","7334.062996000284","4787.250303008477","NA","NA","5501.638753004954","5001.369845005684","Attentional capture","1","803.2437649962958","1","yes","1024","176.77669529663683","-176.77669529663692"
"100.0","100","724.8075429961318","724.8075429961318","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","/","0","0","0","0","0","0","0","0","NA","1","0","1","0","1","1","0","1","0","1","1","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","present","blue","0","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","1","1","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","rect","Melodramatic Milgram","4.0.0a17","4","7","yes","0","slash","NA","NA","NA","space","slash","646.3713209959678","NA","NA","NA","597.0843239920214","646.3713209959678","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","yellow","90","7","circle","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","7608.4378759987885","4787.23693700158","9283.960145010496","4189.714050007751","8633.745896004257","9779.050885001197","4787.250303008477","NA","NA","8103.495666000526","7604.993596003624","Attentional capture","2","1449.6150859922636","2","yes","1024","176.77669529663683","-176.77669529663692"
"66.66666666666667","66.66666666666667","825.7581813328821","825.7581813328821","black","no","psycho","psycho","psycho","0","relative","0","undefined","0","/","0","0","0","0","0","0","0","0","NA","2","0","2","0","2","2","0","2","0","2","2","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","present","yellow","3","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","2","2","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","rect","Melodramatic Milgram","4.0.0a17","4","7","yes","0","z","NA","NA","NA","space","z","1027.659458006383","NA","NA","NA","597.0843239920214","1027.659458006383","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","blue","90","1","circle","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","10054.86903100973","4787.23693700158","9283.960145010496","4189.714050007751","11079.213631004677","12605.455413999152","4787.250303008477","12110.391393012833","NA","10549.974360008491","10051.646318010171","Attentional capture","2","2477.2745439986465","3","yes","1024","176.77669529663683","-176.77669529663692"
"75.0","75","817.9652964972774","817.9652964972774","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","/","0","0","0","0","0","0","0","0","NA","3","0","3","0","3","3","0","3","0","3","3","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","present","yellow","5","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","3","3","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","rect","Melodramatic Milgram","4.0.0a17","4","7","yes","0","slash","NA","NA","NA","space","slash","794.5866419904632","NA","NA","NA","597.0843239920214","794.5866419904632","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","blue","90","0","circle","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","12867.069097002968","4787.23693700158","14690.52269301028","4189.714050007751","13892.065165011445","15185.627326005488","4787.250303008477","12110.391393012833","NA","13362.150658009341","12863.680891008698","Attentional capture","3","3271.86118598911","4","yes","1024","176.77669529663683","-176.77669529663692"
"80.0","80","778.9063893986167","778.9063893986167","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","z","0","0","0","0","0","0","0","0","NA","4","0","4","0","4","4","0","4","0","4","4","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","present","blue","4","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","4","4","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","rect","Melodramatic Milgram","4.0.0a17","4","7","yes","0","z","NA","NA","NA","space","z","622.6707610039739","NA","NA","NA","597.0843239920214","622.6707610039739","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","yellow","0","1","circle","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","15515.183114999672","4787.23693700158","17166.300189011963","4189.714050007751","16540.1602070051","17661.367780005094","4787.250303008477","12110.391393012833","NA","16010.308732002159","15511.536098012584","Attentional capture","4","3894.5319469930837","5","yes","1024","176.77669529663683","-176.77669529663692"
"83.33333333333333","83.33333333333333","732.5840551663229","732.5840551663229","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","/","0","0","0","0","0","0","0","0","NA","5","0","5","0","5","5","0","5","0","5","5","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","absent","yellow","None","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","5","5","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","circle","Melodramatic Milgram","4.0.0a17","4","7","yes","0","slash","NA","NA","NA","space","slash","500.97238400485367","NA","NA","NA","597.0843239920214","500.97238400485367","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","blue","90","7","rect","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","17924.39884300984","4787.23693700158","19454.279684010544","4189.714050007751","18949.445195001317","19949.35775200429","4787.250303008477","12110.391393012833","NA","18419.49264401046","17920.946111000376","Attentional capture","5","4395.504330997937","6","yes","1024","176.77669529663683","-176.77669529663692"
"85.71428571428571","85.71428571428571","709.5649719994981","709.5649719994981","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","z","0","0","0","0","0","0","0","0","NA","6","0","6","0","6","6","0","6","0","6","6","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","present","yellow","1","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","6","6","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","circle","Melodramatic Milgram","4.0.0a17","4","7","yes","0","z","NA","NA","NA","space","z","571.4504729985492","NA","NA","NA","597.0843239920214","571.4504729985492","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","blue","0","2","rect","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","20224.342911009444","4787.23693700158","21824.22469300218","4189.714050007751","21249.020883013145","22319.31478100887","4787.250303008477","12110.391393012833","NA","20719.485174005968","20221.036387010827","Attentional capture","6","4966.954803996487","7","yes","1024","176.77669529663683","-176.77669529663692"
"87.5","87.5","682.470974375974","682.470974375974","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","/","0","0","0","0","0","0","0","0","NA","7","0","7","0","7","7","0","7","0","7","7","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","absent","yellow","None","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","7","7","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","rect","Melodramatic Milgram","4.0.0a17","4","7","yes","0","slash","NA","NA","NA","space","slash","492.8129910113057","NA","NA","NA","597.0843239920214","492.8129910113057","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","blue","90","0","circle","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","22582.9219820007","4787.23693700158","24104.22901000129","4189.714050007751","23607.687260999228","24599.322713009315","4787.250303008477","12110.391393012833","NA","23078.061254011118","22579.501427011564","Attentional capture","7","5459.767795007792","8","yes","1024","176.77669529663683","-176.77669529663692"
"88.88888888888889","88.88888888888889","674.5591807783866","674.5591807783866","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","/","0","0","0","0","0","0","0","0","NA","8","0","8","0","8","8","0","8","0","8","8","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","absent","yellow","None","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","8","8","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","rect","Melodramatic Milgram","4.0.0a17","4","7","yes","0","slash","NA","NA","NA","space","slash","611.264831997687","NA","NA","NA","597.0843239920214","611.264831997687","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","blue","90","7","circle","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","24864.836937005748","4787.23693700158","26504.286212002626","4189.714050007751","25889.193174007232","26999.40225201135","4787.250303008477","12110.391393012833","NA","25359.947415010538","24861.467594004353","Attentional capture","8","6071.032627005479","9","yes","1024","176.77669529663683","-176.77669529663692"
"90.0","90","657.4059753009351","657.4059753009351","black","no","psycho","psycho","psycho","0","relative","1","undefined","1","z","0","0","0","0","0","0","0","0","NA","9","0","9","0","9","9","0","9","0","9","9","Thu Mar 30 11:01:20 2023","Loosely based on Theeuwes (1992)","yes","present","blue","4","250","experiment.osexp","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture","no","mono","no","18","no","white","no","no","768","psycho","75","9","9","0","/home/sebastiaan/git/OpenSesame/opensesame_extensions/core/example_experiments/examples/attentional_capture/quickrun.csv","psycho","circle","Melodramatic Milgram","4.0.0a17","4","7","yes","0","z","NA","NA","NA","space","z","503.0271260038717","NA","NA","NA","597.0843239920214","503.0271260038717","2","psycho","8","1024","2","48000","-16","experiment","100","999","odd","yellow","0","3","rect","NA","4787.708443007432","4787.656799002434","4787.220058002276","NA","NA","4174.86997701053","NA","NA","27275.76753401081","4787.23693700158","28813.882107002428","4189.714050007751","28307.536139007425","29309.02125799912","4787.250303008477","12110.391393012833","NA","27770.858108007815","27268.16754700849","Attentional capture","9","6574.059753009351","10","yes","1024","176.77669529663683","-176.77669529663692"
